配信順,楽曲ID,楽曲名,読み仮名,見出し用,再生時間,楽曲定数,ユニット,MV,配信日,Ap配信日,Lv.Ea,Lv.No,Lv.Ha,Lv.Ex,Lv.Ma,Lv.Ap,,,,読み1,読み2,読み3,読み4,読み5,読み6,読み7,読み8,読み9,読み10,
82,105,ワンスアポンアドリーム,わんすあぽんあどりーむ,わ,112.8,112,4_WxS,2D,2021/02/28,2025/01/21,6,11,16,22,28,28,,,,わんあぽ,,,,,,,,,,
83,125,ボッカデラベリタ,ぼっかでらべりた,ほ,116.9,112,5_25,2D,2021/03/06,,7,13,18,25,29,,,,,,,,,,,,,,,
84,124,みくみくにしてあげる♪【してやんよ】,みくみくにしてあげるしてやんよ,み,100.9,110,0_VS,-,2021/03/09,2024/03/09,7,12,17,24,28,29,,,,,,,,,,,,,,
85,95,威風堂々,いふうどうどう,い,145,120,3_VBS,2D/3D,2021/03/15,,6,12,17,24,28,29,,,,,,,,,,,,,,
86,96,from Y to Y,ふろむわいとぅわい,ふ,155.5,123,1_L/n,-,2021/03/22,,5,11,16,24,27,,,,,,,,,,ｆｒ,ｆろｍｙｔ,ｆろｍｙとｙ,,,
87,131,初音ミクの激唱,はつねみくのげきしょう,は,160.5,124,0_VS,-,2021/03/30,,9,14,20,30,34,,,,,げきしょう,,,,,,,,,,
88,112,天使のクローバー,てんしのくろーばー,て,118.4,113,2_MMJ,3D,2021/03/30,,9,13,17,27,31,,,,,てんくろ,,,,,,,,,,
89,106,お気に召すまま,おきにめすまま,お,112.5,110,4_WxS,3D,2021/04/05,,6,12,18,24,29,,,,,めすまま,,,,,,,,,,
90,123,どりーみんチュチュ,どりーみんちゅちゅ,と,140.2,119,2_MMJ,原曲/2D,2021/04/12,,6,13,17,23,27,,,,,ちゅちゅ,どりいみんちゅちゅ,,,,,,,,,
91,116,アイディスマイル,あいでぃすまいる,あ,135.1,118,5_25,2D/3D,2021/04/19,,7,12,17,25,28,26,,,,あいすま,,,,,,,,,,
92,132,「１」,いち,い,98.2,107,1_L/n,2D,2021/04/21,2025/01/31,8,13,16,23,27,28,,,,１,,,,,,,,,,
93,137,花を唄う,はなをうたう,は,110.7,110,0_VS,-,2021/04/26,,6,12,19,25,30,,,,,はなうた,,,,,,,,,,
94,139,夜に駆ける,よるにかける,よ,139,118,5_25,-,2021/05/01,,6,11,18,25,30,,,,,,,,,,,,,,,
95,102,幽霊東京,ゆうれいとうきょう,ゆ,133.1,117,3_VBS,-,2021/05/03,,7,13,17,24,27,,,,,,,,,,,,,,,
96,126,シネマ,しねま,し,106.5,108,3_VBS,2D/3D,2021/05/08,,6,12,18,24,29,29,,,,しっく,,,,,,,,,,
97,138,KING,きんぐ,き,135.2,117,4_WxS,2D,2021/05/17,2024/04/30,7,14,19,25,30,28,,,,,,,,,ｋ,きｎ,きんｇ,,,
98,144,アイノマテリアル,あいのまてりある,あ,124,120,2_MMJ,2D,2021/05/21,,6,11,16,22,26,,,,,あいまて,,,,,,,,,,
99,120,いかないで,いかないで,い,115.7,112,1_L/n,3D,2021/05/28,2024/07/09,8,13,18,25,29,27,,,,,,,,,,,,,,
100,121,ロミオとシンデレラ,ろみおとしんでれら,ろ,114.7,111,2_MMJ,3D,2021/06/07,,7,12,17,24,28,,,,,ろみしん,,,,,,,,,,
101,151,泡沫未来,うたかたみらい,う,104.3,108,0_VS,-,2021/06/14,2024/06/30,8,12,17,25,30,30,,,,ほうまつ,,,,,,,,,,
102,127,トンデモワンダーズ,とんでもわんだーず,と,124.4,114,4_WxS,2D/3D,2021/06/19,,9,14,19,27,32,33,,,,とんわん,,,,,,,,,,
103,149,カナデトモスソラ,かなでともすそら,か,114.7,111,5_25,2D,2021/06/21,2024/12/20,6,11,15,22,26,24,,,,,,,,,,,,,,
104,143,トラフィック・ジャム,とらふぃっくじゃむ,と,129.8,116,3_VBS,原曲/2D,2021/06/30,,6,13,18,24,28,,,,,,,,,,,,,,,
105,130,フロムトーキョー,ふろむとーきょー,ふ,99.7,106,1_L/n,3D,2021/07/07,,6,12,18,24,28,,,,,,,,,,,,,,,
106,156,Beat Eater,びーといーたー,ひ,99.9,107,3_VBS,2D,2021/07/09,2024/05/22,6,11,17,25,29,28,,,,びいといいたあ,,,,,ｂ,べあｔ,べあてあｔ,べあてあてｒ,,
107,135,六兆年と一夜物語,ろくちょうねんといちやものがたり,ろ,123.6,114,1_L/n,2D,2021/07/12,,9,14,20,29,35,,,,,,,,,,,,,,,
