配信順,楽曲ID,楽曲名,読み仮名,見出し用,再生時間,楽曲定数,ユニット,MV,配信日,Ap配信日,Lv.Ea,Lv.No,Lv.Ha,Lv.Ex,Lv.Ma,Lv.Ap,,,,読み1,読み2,読み3,読み4,読み5,読み6,読み7,読み8,読み9,読み10,
156,178,にっこり^^調査隊のテーマ,にっこりちょうさたいのてーま,に,125.7,114,4_WxS,3D,2022/01/19,,8,12,18,27,31,,,,,ちょうさたい,,,,,,,,,,
157,203,トリコロージュ,とりころーじゅ,と,125.1,114,5_25,2D,2022/01/21,,7,13,18,24,28,,,,,とりころおじゅ,,,,,,,,,,
158,155,心拍数♯0822,しんぱくすうしゃーぷぜろはちにーにー,し,123.2,114,1_L/n,2D,2022/01/24,,5,11,16,23,27,,,,,,,,,,,,,,,
159,204,うっせぇわ,うっせぇわ,う,136.2,118,5_25,原曲,2022/01/31,,8,12,17,24,28,,,,,,,,,,,,,,,
160,205,踊,おど,お,141.1,119,3_VBS,原曲,2022/02/04,,6,13,18,26,29,,,,,,,,,,,,,,,
161,206,君色マリンスノウ,きみいろまりんすのう,き,151.8,124,0_VS,原曲,2022/02/05,,9,14,19,28,31,,,,,まりんすのう,,,,,,,,,,
162,181,愛して愛して愛して,あいしてあいしてあいして,あ,130,116,5_25,2D/3D,2022/02/07,,5,12,16,25,28,,,,,,,,,,,,,,,
163,182,Flyer!,ふらいやー,ふ,122.9,114,3_VBS,2D/3D,2022/02/16,2024/09/10,9,12,18,24,29,30,,,,,,,,,ｆｌｙ,ｆぇｒ,,,,
164,207,Peaky Peaky,ぴーきーぴーきー,ひ,105.5,109,1_L/n,2D,2022/02/18,,6,12,18,25,28,,,,,ぴきぴき,ぴいきいぴいきい,っｐ,pp,,ｐ,ぺあｋｙｐ,ぺあｋｙぺあｋｙ,,,
165,215,ジウダス,じうだす,し,102.6,107,0_VS,-,2022/02/21,,7,12,18,25,28,,,,,,,,,,,,,,,
166,158,ナンセンス文学,なんせんすぶんがく,な,131.8,116,4_WxS,原曲/2D,2022/02/24,,7,11,18,25,29,,,,,,,,,,,,,,,
167,188,心予報,こころよほう,こ,133.5,116,2_MMJ,原曲/2D,2022/03/02,2024/02/09,6,12,18,24,28,28,,,,しんよほう,,,,,,,,,,
168,208,僕らまだアンダーグラウンド,ぼくらまだあんだーぐらうんど,ほ,122,113,1_L/n,原曲/2D,2022/03/04,,7,12,18,25,28,,,,,あんだーぐらうんど,,,,,,,,,,
169,153,Miku,みく,み,155.6,123,0_VS,3D,2022/03/09,,6,12,17,24,29,,,,,,,,,,ｍ,みｋ,みく,,,
170,209,メタモリボン,めたもりぼん,め,103.9,108,2_MMJ,2D,2022/03/11,,5,11,16,23,26,,,,,,,,,,,,,,,
171,174,いーあるふぁんくらぶ,いーあるふぁんくらぶ,い,125.8,114,4_WxS,2D/3D,2022/03/14,2024/09/20,6,12,17,24,28,26,,,,いいあるふぁんくらぶ,,,,,,,,,,
172,210,雨とペトラ,あめとぺとら,あ,125.3,114,3_VBS,-,2022/03/22,,9,12,18,25,29,,,,,あめぺと,ぺとら,,,,,,,,,
173,189,ノマド,のまど,の,91.7,105,5_25,3D,2022/03/28,,5,11,16,23,26,,,,,,,,,,,,,,,
174,221,マトリョシカ,まとりょしか,ま,106,109,0_VS,原曲,2022/03/30,,9,13,18,25,30,,,,,,,,,,,,,,,
175,220,ドーナツホール 2024,どーなつほーるにせんにじゅうよん,と,138.2,118,0_VS,原曲,2022/03/31,2024/12/27,9,14,18,25,29,33,,,,どおなつほおる,,,,,,,,,,
176,219,砂の惑星,すなのわくせい,す,134,117,0_VS,原曲,2022/04/01,,5,11,16,23,27,,,,,,,,,,,,,,,
177,216,ルカルカ★ナイトフィーバー,るかるかないとふぃーばー,る,139.2,118,0_VS,-,2022/04/02,,7,13,18,25,29,,,,,,,,,,,,,,,
178,222,ピアノ×フォルテ×スキャンダル,ぴあのふぉるてすきゃんだる,ひ,132.1,116,0_VS,-,2022/04/03,,6,11,18,26,30,,,,,,,,,,,,,,,
179,223,千年の独奏歌,せんねんのどくそうか,せ,151.7,122,0_VS,-,2022/04/04,,5,11,16,23,27,,,,,どくそうか,,,,,,,,,,
180,224,88☆彡,はちじゅうはち,は,127.3,115,4_WxS,2D,2022/04/11,2024/08/09,9,13,18,26,29,32,,,,はちはち,８８,,,,,,,,,
181,227,ONESELF,わんせるふ,わ,128.9,115,0_VS,-,2022/04/15,2025/02/28,7,14,18,27,30,33,,,,,,,,,おｎ,おねｓ,おねせｌｆ,,,
182,195,PaⅢ.SENSATION,ぱっしょねーとすりーどっとせんせーしょん,は,133.7,117,3_VBS,2D/3D,2022/04/18,,8,12,17,24,29,,,,,せんせーしょん,せんせえしょん,,,,ｐ,ぱ,ｓ,せｎ,せんｓ,
183,168,ダーリンダンス,だーりんだんす,た,102.6,108,2_MMJ,2D,2022/04/25,,7,12,17,25,30,,,,,だありんだんす,,,,,,,,,,
184,196,オーダーメイド,おーだーめいど,お,125.3,114,1_L/n,3D,2022/04/28,,5,11,16,21,26,,,,,おおだあめいど,,,,,,,,,,
185,231,アイデンティティ,あいでんてぃてぃ,あ,156.8,123,9_oth,2D,2022/05/01,,9,13,18,26,31,,,,,,,,,,,,,,,
186,232,青色絵具,あおいろえのぐ,あ,156.3,123,9_oth,2D,2022/05/02,,6,12,16,24,27,,,,,,,,,,,,,,,
187,233,コスモスパイス,こすもすぱいす,こ,129.5,115,9_oth,2D,2022/05/03,,7,12,17,25,31,,,,,,,,,,,,,,,
188,234,徳川カップヌードル禁止令,とくがわかっぷぬーどるきんしれい,と,127.8,115,9_oth,2D,2022/05/04,,8,13,19,27,31,,,,,かっぷぬーどる,かっぷぬうどる,,,,,,,,,
189,230,サラマンダー,さらまんだー,さ,157.5,123,9_oth,2D,2022/05/05,,8,12,18,25,30,,,,,さらまんだあ,,,,,,,,,,
190,211,イフ,いふ,い,130.3,116,2_MMJ,2D/3D,2022/05/08,,6,12,18,23,27,,,,,,,,,,,,,,,
191,238,ブラック★ロックシューター,ぶらっくろっくしゅーたー,ふ,115.4,111,0_VS,原曲,2022/05/10,,7,12,16,24,27,,,,,ぶらっくろっくしゅうたあ,,,,,,,,,,
192,194,妄想感傷代償連盟,もうそうかんしょうだいしょうれんめい,も,141.3,119,5_25,原曲/2D,2022/05/13,2024/11/08,7,12,16,23,27,26,,,,,,,,,,,,,,
193,146,リモコン,りもこん,り,133.2,117,4_WxS,-,2022/05/16,,7,12,17,24,29,,,,,,,,,,,,,,,
194,239,月光,げっこう,け,157,124,3_VBS,2D,2022/05/20,,5,12,18,25,29,,,,,,,,,,,,,,,
195,201,神のまにまに,かみのまにまに,か,132.9,117,4_WxS,3D,2022/05/30,,6,13,18,25,29,,,,,まにまに,,,,,,,,,,
196,244,Awake Now,あうぇいくなう,あ,121.6,114,3_VBS,2D,2022/05/31,2024/06/10,6,12,17,24,30,29,,,,あわけなう,,,,,あｗ,あわｋ,あわけｎ,あわけのｗ,,
197,245,阿吽のビーツ,あうんのびーつ,あ,136.4,118,3_VBS,原曲,2022/06/06,,6,13,18,23,29,,,,,,,,,,,,,,,
198,248,バグ,ばぐ,は,128.1,115,5_25,2D,2022/06/10,2024/08/30,9,13,19,26,32,31,,,,,,,,,,,,,,
199,198,グッバイ宣言,ぐっばいせんげん,く,126.4,114,4_WxS,2D,2022/06/13,2024/03/22,7,12,17,26,30,27,,,,,,,,,,,,,,
200,213,ヴァンパイア,ヴぁんぱいあ,う,141.7,119,2_MMJ,2D/3D,2022/06/20,,7,12,18,25,30,27,,,,,,,,,,,,,,
201,254,未完成讃歌,みかんせいさんか,み,156.4,123,0_VS,-,2022/06/24,,8,12,18,27,31,,,,,,,,,,,,,,,
202,212,星空のメロディー,ほしぞらのめろでぃー,ほ,108.4,110,4_WxS,3D,2022/06/28,,5,11,16,24,27,,,,,ほしめろ,,,,,,,,,,
203,229,脳漿炸裂ガール,のうしょうさくれつがーる,の,144.4,120,0_VS,原曲,2022/06/30,,7,13,18,28,32,,,,,,,,,,,,,,,
204,249,ぼくらの16bit戦争,ぼくらのしっくすてぃーんびっとうぉーず,ほ,148.3,121,0_VS,原曲,2022/07/01,,6,13,17,28,33,,,,,１６,じゅうろくびっと,１６びっと,１６びｔ,,,,,,,
205,218,メリュー,めりゅー,め,140.3,118,5_25,3D,2022/07/04,,6,11,15,22,26,,,,,めりゅう,,,,,,,,,,
206,246,エイリアンエイリアン,えいりあんえいりあん,え,143.7,120,4_WxS,-,2022/07/11,,7,12,18,25,29,,,,,,,,,,,,,,,
207,217,街,まち,ま,102.7,108,3_VBS,3D,2022/07/19,,6,12,16,23,27,,,,,,,,,,,,,,,
208,257,てらてら,てらてら,て,135.9,117,1_L/n,2D,2022/07/21,,8,13,18,24,30,,,,,,,,,,,,,,,
209,251,フロイライン＝ビブリォチカ,ふろいらいんびぶりぉちか,ふ,145.6,121,0_VS,-,2022/07/30,,9,14,18,27,31,,,,,,,,,,,,,,,
210,240,踊れオーケストラ,おどれおーけすとら,お,109.7,113,4_WxS,2D,2022/08/08,,8,12,17,24,28,,,,,おどれおおけすとら,おーけすとら,おおけすとら,おどおけ,,,,,,,
211,264,パラソルサイダー,ぱらそるさいだー,は,91.4,105,2_MMJ,2D,2022/08/10,,8,13,17,25,30,,,,,,,,,,,,,,,
212,226,ロストエンファウンド,ろすとえんふぁうんど,ろ,156.3,122,1_L/n,3D,2022/08/15,,9,13,18,25,29,,,,,ろすえん,,,,,,,,,,
213,266,YY,わいわい,わ,144.7,120,3_VBS,原曲,2022/08/22,2024/07/17,7,12,17,25,29,29,,,,,,,,,ｙ,っｙ,,,,
214,274,それでもいいんだよ,それでもいいんだよ,そ,128.2,115,0_VS,-,2022/08/26,,6,12,17,24,29,,,,,,,,,,,,,,,
215,237,君の夜をくれ,きみのよるをくれ,き,121.9,113,5_25,3D,2022/08/29,,5,11,15,21,26,,,,,きみくれ,きみよる,,,,,,,,,
216,273,フューチャー・イヴ,ふゅーちゃーいヴ,ふ,153.2,122,0_VS,原曲,2022/09/02,,9,13,19,27,32,,,,,ふつれ,いゔ,いぶ,ふゅうちゃあいゔ,,,,,,,
217,236,Voices,ヴぉいしーず,う,124.5,114,1_L/n,3D,2022/09/07,,8,13,18,25,30,,,,,ぼいしーず,ぼいしいず,,,,ｖ,ゔぉいｃ,ゔぉいせｓ,,,
218,272,ジェヘナ,じぇへな,し,153.8,122,5_25,原曲/2D,2022/09/12,,6,13,18,25,31,31,,,,,,,,,,,,,,
219,243,Calc.,かるく,か,144.7,120,1_L/n,-,2022/09/16,,7,13,18,25,30,,,,,,,,,,ｃ,かｌｃ,,,,
220,280,虚ろを扇ぐ,うつろをあおぐ,う,156.6,124,3_VBS,2D,2022/09/20,2024/11/30,5,11,17,23,27,30,,,,,,,,,,,,,,
221,235,Journey,じゃーにー,し,166,126,9_oth,2D/3D,2022/09/30,,6,12,18,25,29,,,,,じゃあにい,,,,,ｊ,じょうｒｎ,じょうｒねｙ,,,
222,289,天ノ弱,あまのじゃく,あ,108.9,110,1_L/n,2D,2022/10/01,,8,12,17,25,29,,,,,,,,,,,,,,,
223,288,アンハッピーリフレイン,あんはっぴーりふれいん,あ,132.8,116,0_VS,-,2022/10/02,,9,13,19,26,31,,,,,あんはぴ,あんはっぴいりふれいん,,,,,,,,,
224,277,フォニイ,ふぉにい,ふ,144.1,120,5_25,2D,2022/10/03,,7,13,18,24,29,,,,,,,,,,,,,,,
225,256,ダブルラリアット,だぶるらりあっと,た,142.2,119,0_VS,-,2022/10/04,,6,11,16,23,27,,,,,だぶらり,,,,,,,,,,
226,284,インビジブル,いんびじぶる,い,144.1,120,0_VS,-,2022/10/05,,8,13,19,28,32,,,,,,,,,,,,,,,
227,225,エゴロック,えごろっく,え,112.3,111,4_WxS,3D,2022/10/06,,9,13,18,25,31,,,,,,,,,,,,,,,
228,278,Bad ∞ End ∞ Night,ばっどえんどないと,は,118.1,112,0_VS,原曲,2022/10/07,,9,14,18,25,29,,,,,ばどえん,,,,,ｂ,ばｄ,ばでｎ,ばでんｄ,ばでんｄｎ,
229,242,トリノコシティ,とりのこしてぃ,と,117.4,112,2_MMJ,-,2022/10/08,,6,11,17,23,27,,,,,,,,,,,,,,,
230,279,こちら、幸福安心委員会です。,こちらこうふくあんしんいいんかいです,こ,146.3,120,0_VS,-,2022/10/09,,6,12,18,24,28,,,,,こうふくあんしんいいんかい,,,,,,,,,,
231,253,DAYBREAK FRONTLINE,でいぶれいくふろんとらいん,て,139,118,3_VBS,2D/3D,2022/10/10,2024/01/31,6,12,19,25,29,29,,,,でいぶれ,,,,,ｄ,だｙｂｒ,だｙｂれあｋｆｒ,だｙｂれあｋｆろｎ,だｙｂれあｋｆろんｔｌ,
232,285,ÅMARA(大未来電脳),あまらだいみらいでんのう,あ,154.5,123,0_VS,2D,2022/10/11,,8,14,19,28,34,,,,,,,,,,あｍ,あまｒ,,,,
233,252,DREAM PLACE,どりーむぷれいす,と,142.1,118,2_MMJ,3D,2022/10/19,,6,12,17,25,29,,,,,どりぷれ,どりいむぷれいす,,,,ｄｒ,ｄれあｍｐｌ,ｄれあｍｐぁｃ,ｄれあｍｐぁせ,,
234,270,泥中に咲く,でいちゅうにさく,て,145.8,120,5_25,2D,2022/10/28,,5,11,17,22,26,,,,,,,,,,,,,,,
235,292,いちにのさんで,いちにのさんで,い,162,124,0_VS,-,2022/10/31,,5,11,15,22,26,,,,,,,,,,,,,,,
236,262,帝国少女,ていこくしょうじょ,て,148,121,3_VBS,2D,2022/11/01,,5,11,17,24,28,,,,,,,,,,,,,,,
237,265,Change me,ちぇんじみー,ち,147.2,121,0_VS,-,2022/11/04,,6,12,17,23,28,,,,,,,,,,ｃｈ,ちゃｎ,ちゃんｇ,ちゃんげｍ,ちゃんげめ,
238,260,ラブカ？,らぶか,ら,103.7,108,4_WxS,3D,2022/11/14,,6,12,17,25,29,,,,,,,,,,,,,,,
239,259,the WALL,"スコア   ：300,000~319,999",さ,111.8,111,1_L/n,3D,2022/11/18,,8,13,17,25,30,,,,,かべ,うぉーる,うぉおる,,,ｔｈ,てぇｗ,てぇわｌ,てぇわっｌ,,
240,304,Iなんです,あいなんです,あ,106.1,109,5_25,2D,2022/11/20,,8,13,18,26,31,33,,,,いなんです,,,,,いなんです,,,,,
241,275,パラジクロロベンゼン,ぱらじくろろべんぜん,は,149.1,121,0_VS,-,2022/11/21,,6,13,18,24,28,,,,,,,,,,,,,,,
242,261,星屑ユートピア,ほしくずゆーとぴあ,ほ,131.8,116,0_VS,-,2022/11/25,,9,12,17,25,30,,,,,ほしくずゆうとぴあ,ゆーとぴあ,ゆうとぴあ,,,,,,,,
243,302,フレー,ふれー,ふ,138.5,118,1_L/n,2D,2022/11/26,,7,13,17,26,30,,,,,ふれえ,,,,,,,,,,
244,271,あったかいと,あったかいと,あ,148.7,121,0_VS,-,2022/11/28,,8,13,18,24,29,,,,,,,,,,,,,,,
245,295,フロート・プランナー,ふろーとぷらんなー,ふ,103.5,108,2_MMJ,2D,2022/11/30,,6,13,17,23,27,,,,,ふろおとぷらんなあ,,,,,,,,,,
246,268,ノンブレス・オブリージュ,のんぶれすおぶりーじゅ,の,129.8,116,5_25,3D,2022/12/05,,6,12,18,26,31,,,,,,,,,,,,,,,
247,269,ロンリーユニバース,ろんりーゆにばーす,ろ,141.3,119,2_MMJ,2D,2022/12/09,,5,12,17,23,27,,,,,ろんりいゆにばあす,ろんゆに,,,,,,,,,
248,314,陽だまりのセツナ,ひだまりのせつな,ひ,115.7,112,0_VS,-,2022/12/12,,8,12,17,23,28,,,,,,,,,,,,,,,
249,267,仮死化,かしか,か,132.3,116,3_VBS,2D/3D,2022/12/19,2025/01/10,8,13,17,23,28,28,,,,,,,,,,,,,,
250,315,What's up? Pop!,わっつあっぷぽっぷ,わ,160.5,124,0_VS,-,2022/12/23,,9,14,22,31,37,,,,,わつあぽ,,,,,ｗｈ,うぁｔｓ,うぁつｐ,うぁつっｐ,うぁつっぽｐ,
251,250,腐れ外道とチョコレゐト,くされげどうとちょこれいと,く,132.3,116,0_VS,-,2022/12/25,,9,14,21,30,35,,,,,ちょこれいと,,,,,,,,,,
252,255,夜もすがら君想ふ,よもすがらきみおもう,よ,146,120,1_L/n,2D,2022/12/29,,6,12,16,24,28,,,,,,,,,,,,,,,
253,298,ネトゲ廃人シュプレヒコール,ねとげはいじんしゅぷれひこーる,ね,148.5,121,4_WxS,-,2022/12/30,,8,13,18,25,31,,,,,しゅぷれひこーる,しゅぷれひこおる,,,,,,,,,
254,296,カンタレラ,かんたれら,か,125.5,114,0_VS,原曲,2022/12/31,,6,12,17,24,29,,,,,,,,,,,,,,,
255,313,FREELY TOMORROW,ふりーりーとぅもろー,ふ,138.3,118,0_VS,原曲,2023/01/01,,6,11,16,24,29,,,,,ふりいりいとぅもろお,,,,,ｆｒ,ｆれえｌｙｔ,ｆれえｌｙとｍ,ｆれえｌｙともｒ,ｆれえｌｙともっｒ,
256,281,気まぐれメルシィ,きまぐれめるしぃ,き,148.5,121,2_MMJ,3D,2023/01/02,,7,12,18,25,31,,,,,めるしぃ,,,,,,,,,,
257,294,それがあなたの幸せとしても,それがあなたのしあわせとしても,そ,127.8,115,5_25,-,2023/01/03,,5,11,16,22,26,,,,,それしあ,,,,,,,,,,
258,303,リンちゃんなう！,りんちゃんなう,り,148.5,121,0_VS,原曲,2023/01/04,,9,12,18,25,30,,,,,,,,,,,,,,,
259,291,フェレス,ふぇれす,ふ,139.7,118,3_VBS,原曲/2D,2023/01/05,,9,13,18,26,30,31,,,,,,,,,,,,,,
260,311,夜明けと蛍,よあけとほたる,よ,145.5,120,0_VS,-,2023/01/10,,5,10,15,22,26,,,,,,,,,,,,,,,
261,282,星空オーケストラ,ほしぞらおーけすとら,ほ,124.5,114,4_WxS,3D,2023/01/19,,9,12,17,23,29,,,,,おーけすとら,おおけすとら,ほしおけ,,,,,,,,
262,310,Flyway,ふらいうぇい,ふ,129.2,116,1_L/n,2D,2023/01/21,2024/04/10,8,12,17,24,29,30,,,,,,,,,ｆｌｙｗ,ｆｌｙわｙ,,,,
263,297,p.h.,ぺーはー,へ,110.9,110,0_VS,原曲,2023/01/23,,6,12,18,24,29,,,,,ぴーえいち,ぺえはあ,ぴいえいち,,,ｐ,ｐｈ,,,,
264,228,Goodbye,ぐっどばい,く,128.2,115,0_VS,原曲,2023/02/01,,6,12,17,23,26,,,,,,,,,,ｇ,ごおｄｂｙ,ごおｄびぇ,,,
265,327,SnowMix♪,すのうみっくす,す,158.4,124,0_VS,原曲,2023/02/04,,8,12,18,27,30,,,,,,,,,,ｓｎ,ｓのｗｍ,ｓのｗみｘ,,,
266,328,星界ちゃんと可不ちゃんのおつかい合騒曲,せかいちゃんとかふちゃんのおつかいがっそうきょく,せ,154.2,122,0_VS,-,2023/02/06,,9,14,20,29,32,,,,,せかせか,せいかいちゃん,かふちゃん,,,,,,,,
267,326,天使の翼。,てんしのつばさ,て,169.2,127,0_VS,-,2023/02/07,,6,12,18,24,28,,,,,,,,,,,,,,,
268,247,Copycat,こぴーきゃっと,こ,125.7,114,0_VS,原曲,2023/02/10,,5,11,16,23,26,,,,,こぴいきゃっと,,,,,ｃ,こｐｙｃ,こｐｙかｔ,,,
269,283,レイニースノードロップ,れいにーすのーどろっぷ,れ,151,122,0_VS,3D,2023/02/11,,8,14,17,25,30,,,,,,,,,,,,,,,
270,293,アイロニ,あいろに,あ,144.4,120,5_25,原曲,2023/02/13,,5,11,17,23,28,,,,,,,,,,,,,,,
271,306,1925,いちきゅーにーごー,い,142,119,4_WxS,-,2023/02/15,,6,11,17,24,28,,,,,１９２５,,,,,,,,,,
272,287,私は、私達は,わたしはわたしたちは,わ,108,109,2_MMJ,3D,2023/02/17,,7,12,18,24,27,,,,,わたわた,,,,,,,,,,
273,316,ひつじがいっぴき,ひつじがいっぴき,ひ,129,115,3_VBS,2D,2023/02/19,,9,13,17,25,28,,,,,,,,,,,,,,,
274,286,"Hello, Worker",はろーわーかー,は,102.9,108,1_L/n,3D,2023/02/20,,7,12,17,25,28,,,,,はろわ,はろおうぉおかあ,,,,ｈ,へｌ,へっｌ,へっぉｗ,へっぉをｒｋ,
275,338,Where shall we go?,うぇあしゃるうぃーごー,う,119,112,0_VS,-,2023/02/24,,6,11,16,21,26,,,,,,,,,,ｗｈ,うぇｒ,うぇれｓｈ,うぇれしゃｌ,うぇれしゃっｌｗ,
276,312,ココロ,こころ,こ,141.9,119,0_VS,-,2023/02/27,,6,12,16,24,28,,,,,,,,,,,,,,,
277,305,ストロボラスト,すとろぼらすと,す,132.1,116,0_VS,-,2023/02/28,,5,12,16,23,28,,,,,,,,,,,,,,,
278,214,パレットには君がいっぱい,ぱれっとにはきみがいっぱい,は,133.5,117,0_VS,-,2023/03/01,,5,11,17,25,28,,,,,,,,,,,,,,,
279,202,Q,きゅー,き,130.6,116,0_VS,-,2023/03/02,,5,12,17,24,28,,,,,きゅう,,,,,ｑ,,,,,
280,329,ヤミナベ!!!!,やみなべ,や,129.9,116,0_VS,-,2023/03/04,,9,15,23,31,37,,,,,,,,,,,,,,,
281,320,Booo!,ぶー,ふ,97.7,106,2_MMJ,2D,2023/03/07,,9,14,18,25,29,,,,,ぶー,ぶう,,,,ｂ,ぼおお,,,,
282,331,39,さんきゅー,さ,143.3,120,0_VS,原曲,2023/03/09,,9,13,18,24,29,,,,,さんじゅうきゅう,,,,,,,,,,
283,333,Mr. Showtime,みすたーしょうたいむ,み,138.7,118,4_WxS,2D,2023/03/11,,9,14,19,26,31,,,,,みすしょ,みすたあ,,,,ｍｒｓｈ,ｍｒしょｗｔ,ｍｒしょｗちｍ,ｍｒしょｗちめ,,
284,299,エゴイスト,えごいすと,え,147.4,121,3_VBS,3D,2023/03/13,,8,14,18,26,31,,,,,,,,,,,,,,,
285,332,エピローグに君はいない,えぴろーぐにきみはいない,え,113.4,111,0_VS,-,2023/03/16,,5,11,16,23,26,,,,,えぴろおぐにきみはいない,,,,,,,,,,
286,263,Highlight,はいらいと,は,97,106,0_VS,原曲,2023/03/20,,5,11,16,23,28,,,,,,,,,,ｈ,ひｇｈｌ,ひｇｈぃｇｈｔ,,,
287,321,アトラクトライト,あとらくとらいと,あ,145.1,120,1_L/n,2D,2023/03/24,,8,14,17,25,30,,,,,,,,,,,,,,,
288,300,ザムザ,ざむざ,さ,114.8,111,5_25,3D,2023/03/28,,5,13,18,25,30,,,,,,,,,,,,,,,
289,335,トラッシュ・アンド・トラッシュ！,とらっしゅあんどとらっしゅ,と,138.3,118,0_VS,原曲,2023/03/30,,9,13,19,27,31,,,,,とあと,,,,,,,,,,
290,334,Vampire's ∞ pathoS,ヴぁんぱいあずぱとす,う,124.1,114,0_VS,原曲,2023/03/31,,8,13,19,27,31,,,,,ぱとす,,,,,ｖ,ゔぁｍｐ,ゔぁｍぴｒ,ゔぁｍぴれｓｐ,ゔぁｍぴれｓぱｔｈ,
291,336,Be The MUSIC!,びーざみゅーじっく,ひ,155.6,123,9_oth,2D,2023/04/01,,6,12,20,26,29,,,,,びいざみゅうじっく,BTM,,,,ｂ,べｔｈ,べてぇ,べてぇｍ,べてえむｓ,
292,337,METEOR,みーてぃあ,み,139.5,118,0_VS,-,2023/04/01,,7,14,19,25,30,,,,,みいてぃあ,,,,,ｍ,めｔ,めておｒ,,,
293,330,インタビュア,いんたびゅあ,い,145.5,120,0_VS,原曲,2023/04/02,,6,12,16,23,26,,,,,,,,,,,,,,,
294,301,私の恋はヘルファイア,わたしのこいはへるふぁいあ,わ,150.3,122,0_VS,3D,2023/04/03,,9,13,18,27,31,,,,,へるふぁいあ,,,,,,,,,,
295,343,スノーマン,すのーまん,す,144.1,120,0_VS,-,2023/04/04,,6,12,18,24,29,,,,,すのおまん,,,,,,,,,,
296,258,深海少女,しんかいしょうじょ,し,145.4,120,2_MMJ,原曲,2023/04/07,,6,12,16,23,27,,,,,,,,,,,,,,,
297,317,魔法みたいなミュージック！,まほうみたいなみゅーじっく,ま,140.6,118,0_VS,原曲,2023/04/10,,9,12,18,25,31,,,,,,,,,,,,,,,
298,351,相生,あいおい,あ,161.6,125,1_L/n,2D,2023/04/11,,6,13,18,22,26,,,,,,,,,,,,,,,
299,359,名も無き革命,なもなきかくめい,な,122.5,114,0_VS,-,2023/04/14,,8,12,18,24,29,,,,,かくめい,,,,,,,,,,
300,307,おこちゃま戦争,おこちゃませんそう,お,146.1,120,4_WxS,3D,2023/04/17,,8,13,18,27,31,,,,,,,,,,,,,,,
301,322,絶え間なく藍色,たえまなくあいいろ,た,143.1,120,3_VBS,原曲,2023/04/21,,6,12,17,24,28,,,,,あいいろ,,,,,,,,,,
302,352,命ばっかり,いのちばっかり,い,130.8,116,5_25,-,2023/04/24,,6,14,18,25,28,,,,,,,,,,,,,,,
303,308,ももいろの鍵,ももいろのかぎ,も,132.3,116,2_MMJ,3D,2023/04/28,,7,13,19,26,31,,,,,ももかぎ,,,,,,,,,,
304,353,キティ,きてぃ,き,114.1,111,5_25,2D,2023/04/30,,6,13,20,28,31,,,,,,,,,,,,,,,
305,323,快晴,かいせい,か,151.1,122,1_L/n,3D,2023/05/01,,7,13,17,25,29,,,,,,,,,,,,,,,
306,349,悪食娘コンチータ,あくじきむすめこんちーた,あ,102,108,0_VS,-,2023/05/03,,7,13,19,26,29,,,,,こんちーた,こんちいた,,,,,,,,,
307,350,眠らせ姫からの贈り物,ねむらせひめからのおくりもの,ね,135.3,117,0_VS,-,2023/05/04,,6,12,18,24,27,,,,,,,,,,,,,,,
308,347,円尾坂の仕立屋,えんびざかのしたてや,え,120.4,113,0_VS,-,2023/05/05,,8,12,16,24,28,,,,,したてや,,,,,,,,,,
309,348,悪徳のジャッジメント,あくとくのじゃっじめんと,あ,127.8,115,0_VS,-,2023/05/06,,6,12,17,24,28,,,,,じゃっじめんと,,,,,,,,,,
310,318,Sharing The World,しぇありんぐざわーるど,し,150.7,122,0_VS,-,2023/05/12,,6,11,17,23,27,,,,,ｓｔｗ,,,,,ｓ,ｓｈ,しゃｒ,しゃりｎ,しゃりんｇｔｈ,
311,354,セツナトリップ,せつなとりっぷ,せ,155.2,123,2_MMJ,原曲,2023/05/15,,6,12,20,27,32,,,,,,,,,,,,,,,
312,276,シャンティ,しゃんてぃ,し,130.9,116,3_VBS,原曲,2023/05/19,,6,13,18,25,30,,,,,,,,,,,,,,,
313,364,エターナルアリア,えたーなるありあ,え,139,118,0_VS,-,2023/05/22,,8,14,19,27,30,,,,,えたあなるありあ,,,,,,,,,,
314,342,Blue Star,ぶるーすたー,ふ,147.1,121,0_VS,原曲,2023/05/26,,6,12,17,25,29,,,,,ぶるうすたあ,,,,,ｂｌ,ｂぅえｓｔ,ｂぅえｓたｒ,,,
315,324,箱庭のコラル,はこにわのこらる,は,129.5,116,4_WxS,3D,2023/05/29,,6,12,17,23,27,,,,,こらる,,,,,,,,,,
316,370,人生,じんせい,し,148.8,121,0_VS,-,2023/06/02,,9,14,23,31,37,,,,,,,,,,,,,,,
317,362,Wonder Style,わんだーすたいる,わ,136.1,117,0_VS,-,2023/06/07,,6,11,18,24,28,,,,,わんだあすたいる,,,,,ｗ,をｎ,をんｄ,をんでｒｓｔｙｌ,をんでｒｓｔｙぇ,
318,373,下剋上,げこくじょう,け,155.2,123,3_VBS,2D,2023/06/10,,8,12,18,25,30,,,,,,,,,,,,,,,
319,346,嗚呼、素晴らしきニャン生,ああすばらしきにゃんせい,あ,150,120,4_WxS,原曲,2023/06/12,,8,13,18,24,29,,,,,にゃんせい,,,,,,,,,,
320,380,スターダストメドレー,すたーだすとめどれー,す,143.3,120,0_VS,-,2023/06/16,,7,13,20,26,30,,,,,すたあだすとめどれえ,,,,,,,,,,
